Time,Consumption Meter E (Wh),Consumption Meter P (W),Inv1 Eac (Wh),Inv1 Pac (W)
01/01/2024 00:00,"528","629.0755","",""
01/01/2024 01:00,"703","890.6446","",""
01/01/2024 02:00,"640","621.9363","",""
01/01/2024 03:00,"773","646.5555","",""
01/01/2024 04:00,"794","885.3525","",""
01/01/2024 05:00,"664","633.9836","0","0"
01/01/2024 06:00,"815","751.0636","",""
01/01/2024 07:00,"794","892.8125","0","0"
01/01/2024 08:00,"606","519.5775","105","114.0372"
01/01/2024 09:00,"1863","1544.8533","332","349.8453"
01/01/2024 10:00,"875","873.0661","1018","1025.4707"
01/01/2024 11:00,"524","395.4887","1366","1441.0571"
01/01/2024 12:00,"168","175.6622","2319","2197.783"
01/01/2024 13:00,"382","327.837","1432","1412.2186"
01/01/2024 14:00,"218","229.5758","1407","1363.2045"
01/01/2024 15:00,"228","225.9697","776","724.6403"
01/01/2024 16:00,"180","183.9839","211","193.8856"
01/01/2024 17:00,"1151","1355.1381","0","0"
01/01/2024 18:00,"1838","1802.0757","",""
01/01/2024 19:00,"1037","838.5947","0","0"
01/01/2024 20:00,"1393","1284.9962","",""
01/01/2024 21:00,"848","845.9826","",""
01/01/2024 22:00,"289","210.0483","",""
01/01/2024 23:00,"193","190.5921","",""
01/02/2024 00:00,"187","183.1755","",""
01/02/2024 01:00,"184","182.7099","",""
01/02/2024 02:00,"181","183.8268","",""
01/02/2024 03:00,"353","423.2262","",""
01/02/2024 04:00,"531","514.2604","",""
01/02/2024 05:00,"776","715.3712","0","0"
01/02/2024 06:00,"668","833.696","",""
01/02/2024 07:00,"1082","1316.4611","0","1.1473"
01/02/2024 08:00,"2041","2082.1392","78","81.7888"
01/02/2024 09:00,"1713","1716.7421","174","178.3803"
01/02/2024 10:00,"995","956.6042","1330","1466.3063"
01/02/2024 11:00,"309","233.7896","3247","3250.2551"
01/02/2024 12:00,"243","251.0926","3140","3129.7188"
01/02/2024 13:00,"382","261.2072","2437","2387.9973"
01/02/2024 14:00,"446","422.8827","1103","1074.5459"
01/02/2024 15:00,"277","350.1827","570","556.0527"
01/02/2024 16:00,"202","209.1431","115","105.6373"
01/02/2024 17:00,"332","332.3219","1","1.2757"
01/02/2024 18:00,"544","594.5805","",""
01/02/2024 19:00,"526","708.7489","0","0"
01/02/2024 20:00,"410","403.8752","",""
01/02/2024 21:00,"294","281.0803","",""
01/02/2024 22:00,"186","178.3736","",""
01/02/2024 23:00,"176","170.0591","",""
01/03/2024 00:00,"176","170.3667","",""
01/03/2024 01:00,"174","178.7488","",""
